Alemania (República Federal de),211237,98461,219086,124446,5976896,6701468,10280441,12426130,7332478,9086685,2103404,2813473,4228099,5934569,5108271,6528892,5143761,6077345,4623583,5573336,4828740,5025236,4658409,5250321,4395340,4161056,4221344,4059483,4702405,4704339,6040477,6043163,5506255,6469631,2995401,3636719,3070476,3712860
Colombia (República de),20042818,18402199,5316556,5520464,38120541,40063858,54452794,63949048,19860663,28278877,16910357,23687388,12352147,16440046,4781956,6203963,4232765,5115565,3348783,4608601,2719883,3509217,2216859,2830022,1748918,2168134,1386892,1691919,1756248,2240990,1277237,1582645,1096183,1557232,1107340,1511629,696789,948934
Suiza,130736,55210,80121,43503,3391557,4275256,3574415,4779585,6529203,9131961,4945855,6946744,4531725,6452153,4436110,5101519,4300193,4801343,1742772,2081678,2235368,2363130,1696793,1909545,1228770,1173720,910081,847075,1257701,1223999,966692,964157,733259,886786,663659,794969,717456,867531
Emiratos Arabes Unidos,4371752,4918468,3854436,5231365,6518577,8016050,3832625,5322822,6623989,8221638,3752566,4931276,3535054,5081972,3893577,4607163,3151673,3677243,2994725,3483511,3047755,3145508,2594592,2992215,2445548,2406431,2481227,2451960,1167495,1206493,890029,915496,362407,441579,539586,657463,468416,570752
Uruguay (República Oriental del),3893214,4370489,4961652,6741908,5587106,6652730,4803984,6496390,4671536,7011517,4028799,5550854,3565795,3988967,3735612,3481734,2307857,2187387,1709116,1670645,1462156,1401212,774825,754096,823655,1076763,554236,728566,470098,599448,197899,269672,167274,236153,307032,422174,360021,504136
Cuba (República de),58476,112464,156392,259689,2027178,3406636,2946097,4515550,2557294,3748300,2978755,4008670,2843957,2876255,3566826,3938641,4022925,4394275,1087628,1188028,471738,515289,354817,394714,264261,290294,426775,492887,221112,253769,55755,68690,92925,117754,29736,39251,47292,62426
Noruega (Reino de),5550781,4593567,3422877,4483996,6654098,5171776,2625490,3459222,4420609,5747651,2568560,3689943,2602279,3681577,3384752,3973378,2700268,3151120,3347343,3556765,2558431,2629406,2454911,2671164,2728053,2542533,2379124,2206234,1619539,1550173,1159279,1050651,612265,688849,482752,539063,393278,459334
Corea del Sur,1542661,1772498,2490096,3422439,2737677,3175449,2466684,3078514,1273633,1770234,2176281,2314066,4042833,4247680,3056105,2953396,3533140,3510913,3113328,3111142,2452423,2456411,3389280,3580165,2993010,3250498,3146978,3572038,2473323,2760850,2249919,2526135,1889055,2323157,2175756,2561356,3522111,4092079
Paraguay (República del),10459871,11026716,6827902,8934216,10535978,12266588,7158954,9085989,7587632,11136208,6000822,8404255,3676056,4697791,2995561,3486672,1706786,2172771,1249648,1571136,887589,1110130,662906,877523,494889,664086,2090014,2774855,147193,176631,98128,117754,59472,78503,37170,49064,33780,44590
Países Bajos (Reino de Los),23049350,24115776,15512282,19524997,12756287,20611357,5848777,9362461,2622297,4313131,1165087,1704904,1885206,2351821,2532164,2867270,3771283,4304377,4813879,4845144,4838240,4586967,3348710,3560190,3684119,3474297,3435820,3340656,3300791,3291767,2996071,3024958,2233199,2644722,1808630,2137848,2094422,2476765
Costa Rica (República de),5514558,5470454,4419124,4418735,2625141,2803802,2726530,3573005,1622240,2114673,1089066,1803528,1930479,2134495,2408555,2689692,2492303,2902123,2864949,3299317,2478654,2843054,1875285,2144763,1955814,2149257,3165316,3595197,2858504,3754132,2075100,2581995,1535321,2077847,1113337,1508649,827604,1131196
Austria (República de),0,0,1253063,1491264,4571417,5372878,3485691,4655335,3210071,4159002,2899020,3822850,2417498,3317859,2401937,2860070,2852617,3325925,2712272,3272702,2888745,3203144,2941305,3436190,2673405,2582118,2406442,2310184,2285582,2276588,1644399,1648563,1667076,2031266,1535280,1870686,1595542,1944116
Honduras (República de),10230701,10851221,3903549,4967349,4235949,5236098,2269317,3575369,1511370,4536775,2038798,4112160,2739729,4557854,2293685,3781715,3937543,4056171,4335539,5556173,4233728,5459173,3081237,4088705,3748681,4743600,4342453,5556089,3454269,4299043,2384579,3191943,1657583,2530830,1375112,2010316,1202182,1737579
Finlandia (República de),617081,703990,915968,1220643,1790327,2261139,1815456,2391546,1287338,1647007,1087549,1522589,1682081,1956774,2243787,2177808,2565519,2572988,2558424,2263066,1784526,1436608,1388689,1163798,1204296,975562,954141,771906,937730,775051,648230,531506,443105,391370,263519,184561,254436,292709
El Salvador (República de ),5565341,5747094,4379150,6030753,5631621,6876594,3981890,5284539,184178,295895,217237,380690,1132096,1405128,2178379,1794077,2548702,2066691,1338099,1649172,1708015,2181935,1624266,2095366,1887263,2318447,1850809,2274811,1868832,2322883,1767021,2185438,1161036,1553032,1884960,2541491,1713111,2273172
Perú (República del),31372354,32229424,14373630,18269766,14613913,16499226,10679623,13345450,3956333,5277131,5277670,6855334,3172596,3713050,2064951,1761255,2110360,1822368,969350,823032,878301,768163,151691,203657,179528,225696,130840,157006,98125,117754,89950,107941,52038,68690,113374,161737,182412,240786
India (República de la),660006,786719,413511,558051,3412131,4002551,3272675,4004851,1593742,2165946,2550006,2938195,2574650,2552992,1993111,1859992,1300957,1209706,2298555,2097909,1687525,1566918,1532656,1268604,571472,565107,634200,665280,506410,564894,359843,404523,117272,141443,137397,167412,70200,85535
República Dominicana,38423691,39031187,12261028,15263251,12994817,14858058,7685475,9572135,1073855,1773959,172406,459347,9270996,2755809,1938413,2240458,1985854,2197666,1573508,1726117,1127965,1238842,1034104,1124640,711480,752814,600760,644656,669159,746444,729994,814302,361241,437474,448749,554178,226658,289366
Hong Kong (Teritorio de ),7642504,4482411,2021781,1805829,3645857,2776881,5075866,3819693,483155,606539,1001751,1298704,963875,1366300,1882562,1507683,1853229,1466553,2270830,1865683,1946543,1761005,833546,901150,1059236,1186749,1078050,1289189,1749174,1944165,1446302,1605066,1757079,2067435,1056007,1087604,722556,722140
Singapur (República de),7312321,7159757,3885958,4974897,7030349,7907849,5732026,6073887,3259637,2902305,4716363,3589350,1054881,1096822,1756471,1654177,2054346,1992589,2396449,2319595,2099202,2046104,631355,676039,565389,582004,619233,651693,1566140,1828515,1759342,2358353,576377,679797,691512,766605,478010,542660
Libano,83026,90175,65368,90175,379897,465907,346981,488093,493307,687044,1435913,2049596,2181945,3192597,1732864,2063458,1819043,2134899,1671182,2027879,403064,443210,256253,298569,316848,306028,95635,91808,0,0,0,0,0,0,40267,49064,161018,196196
Grecia,1673601,2194851,1652164,2330689,1992900,2360380,2043757,2932234,1673257,2554824,2096311,2749105,1780507,2654278,1548353,1765403,2183456,2586783,3471460,3643789,4410373,4580853,0,0,0,0,347212,228096,335808,228096,100656,68428,754972,719844,2473065,2895862,2185043,2517099
Rusia antes U.R.S.S.,26382686,27836138,23896600,30697634,13949739,16954227,8420295,11698676,5081418,6567795,3507594,4951670,2772768,3962754,1200527,1448025,888879,1059206,1136579,1333416,704294,743218,1135525,1237420,2202824,2142209,2479588,2379426,3009842,3011841,2011146,2021453,2311325,2816296,2003118,2440723,1668732,2033294
